wl;up_coef;dw_coef;;;
738.8910816;0.002167376;0.000847158;;;
739.0393052;0.0021685;0.000847735;;;
739.1874957;0.002169644;0.000848318;;;
739.335653;0.002170832;0.000848914;;;
739.483777;0.00217209;0.000849529;;;
739.6318678;0.002173438;0.000850168;;;
739.7799254;0.002174874;0.000850832;;;
739.9279498;0.002176392;0.000851518;;;
740.075941;0.002177986;0.000852226;;;
740.2238989;0.002179649;0.000852953;;;
740.3718236;0.002181376;0.000853699;;;
740.5197151;0.00218316;0.000854463;;;
740.6675733;0.002184994;0.00085524;;;
740.8153983;0.002186862;0.000856028;;;
740.96319;0.00218875;0.000856819;;;
741.1109485;0.002190641;0.000857609;;;
741.2586737;0.00219252;0.00085839;;;
741.4063657;0.00219437;0.000859157;;;
741.5540244;0.002196177;0.000859904;;;
741.7016499;0.002197928;0.000860628;;;
741.849242;0.002199629;0.000861331;;;
741.996801;0.002201287;0.000862019;;;
742.1443266;0.002202914;0.000862698;;;
742.291819;0.002204516;0.000863373;;;
742.4392781;0.002206104;0.00086405;;;
742.5867039;0.002207686;0.000864734;;;
742.7340964;0.002209271;0.00086543;;;
742.8814556;0.002210866;0.00086614;;;
743.0287816;0.002212478;0.000866866;;;
743.1760742;0.002214112;0.000867608;;;
743.3233336;0.002215777;0.000868369;;;
743.4705596;0.002217478;0.000869151;;;
743.6177524;0.002219222;0.000869954;;;
743.7649118;0.002221014;0.000870778;;;
743.9120379;0.002222845;0.000871621;;;
744.0591307;0.002224706;0.000872477;;;
744.2061902;0.002226588;0.00087334;;;
744.3532164;0.00222848;0.000874207;;;
744.5002092;0.002230373;0.00087507;;;
744.6471687;0.002232257;0.000875927;;;
744.7940949;0.002234126;0.000876772;;;
744.9409878;0.002235984;0.000877608;;;
745.0878473;0.00223784;0.000878439;;;
745.2346735;0.002239702;0.000879269;;;
745.3814663;0.00224158;0.0008801;;;
745.5282258;0.002243481;0.000880937;;;
745.6749519;0.002245413;0.000881783;;;
745.8216447;0.002247386;0.000882641;;;
745.9683041;0.0022494;0.000883514;;;
746.1149301;0.002251461;0.000884402;;;
746.2615228;0.002253569;0.000885309;;;
746.4080822;0.002255728;0.000886236;;;
746.5546081;0.002257941;0.000887184;;;
746.7011007;0.002260209;0.000888155;;;
746.8475599;0.002262533;0.000889149;;;
746.9939857;0.002264902;0.000890161;;;
747.1403781;0.002267302;0.000891182;;;
747.2867372;0.002269721;0.000892206;;;
747.4330629;0.002272144;0.000893225;;;
747.5793551;0.002274558;0.000894232;;;
747.725614;0.002276951;0.000895218;;;
747.8718395;0.002279309;0.000896179;;;
748.0180315;0.002281628;0.000897115;;;
748.1641902;0.002283904;0.000898028;;;
748.3103154;0.002286133;0.000898923;;;
748.4564073;0.002288311;0.0008998;;;
748.6024657;0.002290434;0.000900664;;;
748.7484907;0.002292498;0.000901516;;;
748.8944823;0.002294504;0.00090236;;;
749.0404404;0.002296467;0.000903201;;;
749.1863651;0.002298408;0.000904044;;;
749.3322564;0.002300345;0.000904897;;;
749.4781143;0.002302299;0.000905764;;;
749.6239387;0.00230429;0.000906651;;;
749.7697296;0.002306336;0.000907563;;;
749.9154872;0.002308455;0.000908507;;;
750.0612112;0.002310647;0.000909481;;;
750.2069018;0.002312908;0.000910485;;;
750.352559;0.002315235;0.000911519;;;
750.4981827;0.002317626;0.00091258;;;
750.6437729;0.002320076;0.000913669;;;
750.7893297;0.002322582;0.000914785;;;
750.934853;0.002325141;0.000915925;;;
751.0803429;0.00232774;0.000917085;;;
751.2257992;0.002330368;0.000918258;;;
751.3712221;0.002333013;0.000919439;;;
751.5166115;0.002335662;0.000920622;;;
751.6619674;0.002338302;0.000921799;;;
751.8072898;0.002340921;0.000922966;;;
751.9525787;0.002343511;0.000924117;;;
752.0978342;0.002346075;0.000925253;;;
752.2430561;0.002348618;0.000926374;;;
752.3882446;0.002351148;0.000927481;;;
752.5333995;0.002353671;0.000928575;;;
752.6785209;0.002356193;0.000929657;;;
752.8236088;0.002358721;0.000930728;;;
752.9686632;0.002361261;0.00093179;;;
753.1136841;0.00236382;0.000932847;;;
753.2586714;0.002366407;0.000933903;;;
753.4036252;0.002369029;0.000934962;;;
753.5485455;0.002371694;0.00093603;;;
