Time;Total_SIF
03.06.2019 08:40;57.64572314
03.06.2019 08:41;50.84990801
03.06.2019 08:42;40.80964293
03.06.2019 08:42;58.90734619
03.06.2019 08:43;41.08460188
03.06.2019 08:44;42.0554862
03.06.2019 08:44;47.85341502
03.06.2019 08:45;59.30622124
03.06.2019 08:45;55.51120367
03.06.2019 08:46;60.81505748
03.06.2019 08:47;57.14705074
03.06.2019 08:47;51.74839107
03.06.2019 08:48;44.48431047
03.06.2019 08:49;41.32529616
03.06.2019 08:49;63.15921245
03.06.2019 08:50;42.92265834
03.06.2019 08:51;62.57101396
03.06.2019 08:51;44.10031488
03.06.2019 08:52;42.37738272
03.06.2019 08:53;47.45105462
03.06.2019 08:53;63.04006013
03.06.2019 08:54;42.60220172
03.06.2019 08:54;40.8602546
03.06.2019 08:55;56.55260332
03.06.2019 08:56;60.03082175
03.06.2019 08:56;43.29886539
03.06.2019 08:57;61.31083536
03.06.2019 08:58;56.11274312
03.06.2019 08:58;41.50532557
03.06.2019 08:59;38.21008392
03.06.2019 08:59;59.18688571
03.06.2019 09:00;51.93867774
03.06.2019 09:01;49.51407603
03.06.2019 09:01;46.41822532
03.06.2019 09:02;41.96524315
03.06.2019 09:03;54.16591619
03.06.2019 09:03;41.75575332
03.06.2019 09:04;74.98618493
03.06.2019 09:05;55.77128404
03.06.2019 09:05;52.25333944
03.06.2019 09:06;45.93524126
03.06.2019 09:07;58.27964005
03.06.2019 09:07;56.56890142
03.06.2019 09:08;61.00024549
03.06.2019 09:08;65.06429317
03.06.2019 09:09;68.64210066
03.06.2019 09:10;54.36171172
03.06.2019 09:10;57.01300788
03.06.2019 09:11;54.22744546
03.06.2019 09:12;41.823478
03.06.2019 09:12;50.02024232
03.06.2019 09:13;65.6549946
03.06.2019 09:14;43.99683643
03.06.2019 09:14;55.69867852
03.06.2019 09:15;57.79237411
03.06.2019 09:16;51.55525626
03.06.2019 09:16;50.573045
03.06.2019 09:17;69.01768878
03.06.2019 09:17;55.14299346
03.06.2019 09:18;44.8469441
03.06.2019 09:19;69.31778121
03.06.2019 09:19;50.28864679
03.06.2019 09:20;62.21482241
03.06.2019 09:21;53.08529913
03.06.2019 09:21;52.28094066
03.06.2019 09:22;46.09296952
03.06.2019 09:23;45.06835184
03.06.2019 09:23;51.23517939
03.06.2019 09:24;54.41232764
03.06.2019 09:24;48.0468568
03.06.2019 09:25;56.66011832
03.06.2019 09:26;72.12114052
03.06.2019 09:26;45.61066842
03.06.2019 09:27;69.84043405
03.06.2019 09:28;52.44863071
03.06.2019 09:28;49.61689562
03.06.2019 09:29;41.95031169
03.06.2019 09:30;63.9928908
03.06.2019 09:30;58.38518977
03.06.2019 09:31;62.00232688
03.06.2019 09:31;67.27175151
03.06.2019 09:32;47.48412243
03.06.2019 09:33;76.08519914
03.06.2019 09:33;47.1075274
03.06.2019 09:34;65.87588598
03.06.2019 09:35;49.33224418
03.06.2019 09:35;67.51594239
03.06.2019 09:36;63.44608951
03.06.2019 09:36;67.8145067
03.06.2019 09:37;64.09114092
03.06.2019 09:38;47.9649573
03.06.2019 09:38;65.12021951
03.06.2019 09:39;58.50586382
03.06.2019 09:40;47.09850048
03.06.2019 09:40;48.67882363
03.06.2019 09:41;52.93953499
03.06.2019 09:42;52.73510025
03.06.2019 09:42;49.14475332
03.06.2019 09:43;43.18536439
03.06.2019 09:43;45.25030868
03.06.2019 09:44;55.50392281
03.06.2019 09:45;63.31600918
03.06.2019 09:45;53.8969641
03.06.2019 09:46;51.47253537
03.06.2019 09:47;68.71749474
03.06.2019 09:47;64.11372621
03.06.2019 09:48;65.07594522
03.06.2019 09:49;48.35181825
03.06.2019 09:49;45.11932674
03.06.2019 09:50;60.73949286
03.06.2019 09:50;42.54121461
03.06.2019 09:51;64.67325944
03.06.2019 09:52;54.0513103
03.06.2019 09:52;47.29341385
03.06.2019 09:53;63.28862812
03.06.2019 09:54;47.09532808
03.06.2019 09:54;71.52903326
03.06.2019 09:55;48.74103153
03.06.2019 09:55;55.36270917
03.06.2019 09:56;55.01641804
03.06.2019 09:57;62.40129697
03.06.2019 09:57;73.49788598
03.06.2019 09:58;42.34134362
03.06.2019 09:59;54.900152
03.06.2019 09:59;69.89235443
03.06.2019 10:00;53.49923679
03.06.2019 10:01;78.17321727
03.06.2019 10:01;61.69336839
03.06.2019 10:02;66.39332661
03.06.2019 10:02;53.38201423
03.06.2019 10:03;61.55578672
03.06.2019 10:04;47.08532486
03.06.2019 10:04;66.75522355
03.06.2019 10:05;74.6460723
03.06.2019 10:06;65.48420279
03.06.2019 10:06;67.90220181
03.06.2019 10:07;51.79142436
03.06.2019 10:08;74.47753883
03.06.2019 10:08;69.5302702
